Gene_ID,Gene_Name,Colon_FoldChange,Colon_pValue,Lung_FoldChange,Lung_pValue,Abs_Colon_FoldChange,Abs_Lung_FoldChange
ENSG00000189157,FAM47E,-0.5,0.488130880060947,-1.5,0.0341523197457796,0.5,1.5
ENSG00000189343,RPS2P46,-0.7,0.211596090891752,1.5,7.50638907906148e-05,0.7,1.5
ENSG00000189362,NEMP2,-0.9,0.0156449444859455,-1.8,1.08474849589193e-07,0.9,1.8
ENSG00000189367,KIAA0408,-0.7,0.404728017468501,-2.0,0.0054357880483186,0.7,2.0
ENSG00000196136,SERPINA3,-1.1,0.226855395815532,-2.3,0.0118988265129959,1.1,2.3
ENSG00000196188,CTSE,-1.4,0.208438616740529,1.6,0.025745069428056,1.4,1.6
ENSG00000196218,RYR1,-2.0,0.0200349663224708,-3.2,4.18395902944831e-05,2.0,3.2
ENSG00000196341,OR8D1,-0.6,0.613068267882844,-2.1,0.0154496141240333,0.6,2.1
ENSG00000196378,ZNF34,0.3,0.748511915184867,-1.7,0.0085966364043211,0.3,1.7
ENSG00000196433,ASMT,-2.4,0.0206378613038012,-2.4,0.0467919907728664,2.4,2.4
ENSG00000196502,SULT1A1,-2.0,0.0167628441300985,-1.9,0.011721448665877,2.0,1.9
ENSG00000196549,MME,-1.1,0.130847022889604,-2.0,4.32042448389378e-08,1.1,2.0
ENSG00000196581,AJAP1,-2.3,0.000980302500983201,-2.2,0.0073413575434507,2.3,2.2
ENSG00000196584,XRCC2,-0.9,0.217065179578838,1.8,0.0047526624636543,0.9,1.8
ENSG00000196611,MMP1,-1.2,0.195347110600858,4.7,2.66701606023994e-12,1.2,4.7
ENSG00000196634,LUADT1,-1.0,0.526789198069065,-2.9,0.0195271621238846,1.0,2.9
ENSG00000196754,S100A2,-1.9,0.103836765733467,4.4,1.98282319600538e-09,1.9,4.4
ENSG00000196787,H2AC11,-1.0,0.0655574135161467,2.5,7.33976880190111e-06,1.0,2.5
ENSG00000197054,ZNF763,-1.2,0.176448588958448,-2.3,0.000132813386068863,1.2,2.3
ENSG00000197125,OR8B8,0.1,0.956650817221806,-2.5,0.045308409824516,0.1,2.5
ENSG00000197291,RAMP2-AS1,0.2,0.853143644288682,-2.1,9.20841984860129e-05,0.2,2.1
ENSG00000197363,ZNF517,-1.5,0.0513837684824429,-3.4,1.49691467686669e-07,1.5,3.4
ENSG00000197408,CYP2B6,-0.6,0.607499358600453,-2.2,0.0015844578267361,0.6,2.2
ENSG00000197415,VEPH1,-0.5,0.521485444862073,-1.9,0.0010518579535822,0.5,1.9
ENSG00000197467,COL13A1,-0.6,0.403561890726383,-2.6,5.93209793971247e-05,0.6,2.6
ENSG00000197479,PCDHB11,1.1,0.0834065866163319,-1.6,0.0215572266514899,1.1,1.6
ENSG00000197497,ZNF665,-0.9,0.0792543970848034,-1.6,0.000673605683293507,0.9,1.6
ENSG00000197520,FAM177B,-0.8,0.239121086534116,-1.8,1.41593137586534e-05,0.8,1.8
ENSG00000197576,HOXA4,-1.2,0.106137098775491,-2.7,0.000408009152386071,1.2,2.7
ENSG00000197658,SLC22A24,-1.9,0.118711558191901,-4.5,3.2477140398656497e-12,1.9,4.5
